Time(in Hours),Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20,Bus21,Bus22,Bus23,Bus24,Bus25,Bus26,Bus27,Bus28,Bus29,Bus30,Bus31,Bus32,Bus33,Bus34,Bus35,Bus36,Bus37,Bus38,Bus39,Bus40,Bus41,Bus42,Bus43,Bus44,Bus45,Bus46,Bus47,Bus48,Bus49,Bus50,Bus51,Bus52,Bus53,Bus54,Bus55,Bus56,Bus57,Bus58,Bus59,Bus60,Bus61,Bus62,Bus63,Bus64,Bus65,Bus66,Bus67,Bus68,Bus69,Bus70,Bus71,Bus72,Bus73,Bus74,Bus75,Bus76,Bus77,Bus78,Bus79,Bus80,Bus81,Bus82,Bus83,Bus84,Bus85,Bus86,Bus87,Bus88,Bus89,Bus90,Bus91,Bus92,Bus93,Bus94,Bus95,Bus96,Bus97,Bus98,Bus99,Bus100,Bus101,Bus102,Bus103,Bus104,Bus105,Bus106,Bus107,Bus108,Bus109,Bus110,Bus111,Bus112,Bus113,Bus114,Bus115,Bus116,Bus117,Bus118
0.0,26.882298849898472,26.866510463147442,26.817056354856305,26.61091938562117,26.585894806818796,26.756293972264753,26.782673659933707,26.598098868178813,26.432040416478713,26.258237398988353,26.787388427052043,26.800660041870547,26.914826406947306,26.87310110157793,26.929800720219635,26.84807255965032,26.738841502547867,26.89929982941945,26.93548319806307,26.937532490072964,26.890350406718454,26.802452966038164,26.60708563304866,26.691247175955834,26.26587102418486,26.310733076162816,26.887078172464367,26.95556144496377,26.998950868812997,26.687731004085798,26.981553841939352,26.918228801607487,26.949100434687484,26.86086195648582,26.887049175851093,26.89125765134328,26.815843813910284,26.75609367940628,27.127806273959617,27.252449041883374,27.314766710657487,27.22279842987556,26.995357257717142,27.00570125131864,26.974297540929413,26.766101869911854,26.642081832425752,26.651050793576346,26.575649314657962,26.749365412233704,26.977571484496593,27.060060911557642,27.07626875673364,26.99124499345052,26.99808953090298,26.998372710524855,26.922157948676748,27.014778526427914,26.654259190607956,26.507910512711824,26.463862599474428,26.502729312349775,26.567379676422902,26.47734509040794,26.34205284775286,26.28728553392132,26.438702436688985,26.324095859472425,26.246358841371652,26.837376523441105,26.838257671239614,26.814004918013737,26.843817306128358,27.049006261654448,26.98896486338138,27.203523059291523,26.574733367393723,26.593164841600956,26.55383370673546,26.332059266643974,26.32447549880945,26.48835814297973,26.40542655189539,26.258571274022188,26.14881121475371,26.247829469042586,26.23109878763069,26.051221854716108,25.86603233627659,26.265626542585302,26.229652147806664,26.135232027485053,26.305344777391866,26.421975898217884,26.49676033979231,26.475043667868544,26.429571010338968,26.432173208212703,26.471072264025285,26.403961538760786,26.341007037223836,26.20832273562519,26.665025821983946,26.870648598758134,26.94999295980243,26.977565737206515,27.164041563619374,27.009331613073282,27.02960660738297,27.059429334759315,26.923424856868518,27.333195657664884,26.770032021788875,26.943684626160586,26.945000721885457,26.333865345906247,26.912650370557266,27.25702790651143
0.25,26.650823756829144,26.633919918029218,26.587486418463087,26.38581100291037,26.362114402283815,26.526982933029515,26.552638198376695,26.37345719508253,26.21405128022337,26.04715172631839,26.55571917354215,26.569657155683448,26.67425761188401,26.636191412415084,26.690827460365135,26.61589366639066,26.506870475640323,26.66156115137351,26.696684730459193,26.697831007203607,26.652048157112098,26.56626309878296,26.37824367266342,26.461976456660967,26.051338502242285,26.09474057194524,26.64286578481134,26.708073523146574,26.748239693910655,26.457942884324535,26.73094782614299,26.67002530732498,26.709574429072912,26.62563868368647,26.651257897896798,26.655225629885912,26.58150600191578,26.523230838948578,26.872252734036188,26.985160951470288,27.041090172397894,26.95848816185771,26.75662023462218,26.764320257677326,26.731857028357613,26.530449744691637,26.408975862578558,26.417157028632367,26.342830865875822,26.50522443244236,26.727337224688473,26.807815912185788,26.822470839390622,26.737233916757422,26.743389517660358,26.743688657925553,26.671458838360433,26.760473796204067,26.406338027058965,26.275603362352566,26.23346604047957,26.27299313924813,26.327458925945688,26.24553078417661,26.122010545830747,26.069465233991785,26.211477324126967,26.107905867726554,26.03436039365988,26.60770571526355,26.608207011790693,26.5826102604077,26.61365686479462,26.8117542972438,26.754463489926867,26.955786019718552,26.34908387566895,26.36763502127777,26.33087656409105,26.117762534603006,26.109493622156364,26.266283320861348,26.186855992026782,26.044852371921987,25.938020449818417,26.025987444671106,26.00999870340446,25.84744115488852,25.668443232265258,26.053148584568202,26.018183722314056,25.926081447672004,26.088175894912432,26.198239311814685,26.26798231270261,26.25166031282426,26.210307903484996,26.214741446862217,26.24817133292803,26.18221981575263,26.122615920856315,25.99603776127747,26.428361234292083,26.625184251614545,26.70396573211649,26.73434100662624,26.918145214982086,26.756693547452905,26.774448506804013,26.798092690969348,26.6683621421888,27.050527542999806,26.535184126083024,26.696394784724042,26.697979422134928,26.11763248614331,26.677371083101477,27.014864381430005
0.5,26.413004230933964,26.39700613731445,26.351583191367723,26.155629454077065,26.133380913572978,26.292947616910414,26.31749735128596,26.144064707732177,25.991305348172936,25.83130886669021,26.320127627866274,26.333887671009748,26.428263778143723,26.39668476090643,26.449192636606817,26.377020037293754,26.271334018083838,26.42033393946035,26.454485181982953,26.455788370774517,26.410691348760928,26.32684006231365,26.146901638678592,26.228879842464348,25.833837557864516,25.87561649683929,26.397687351677703,26.45953754883634,26.49688651786242,26.224259776772318,26.478704190937698,26.422580528550025,26.466830635354253,26.383826072240428,26.408808100830434,26.412530376882764,26.34160868872258,26.28602481475218,26.61303639728213,26.716497111528835,26.770430921120507,26.698161278362246,26.50813150292923,26.515361832986137,26.484709565116347,26.292782054434788,26.17692234763282,26.182581704301583,26.110487998672895,26.2661657245086,26.480996555394203,26.558516963360876,26.574406966056173,26.492565122789653,26.49860257597938,26.49904088021474,26.42822378477438,26.512155410906303,26.17155972722051,26.049273383874723,26.008558729114238,26.046850807331474,26.09701944019967,26.019622078130116,25.902304109736352,25.85137697893912,25.984769397362488,25.890016484069065,25.82011019542693,26.37085686600728,26.371201657545477,26.34573948626168,26.37647258328651,26.571437289556922,26.514452859865933,26.69880293593461,26.121285037797257,26.13959311632906,26.10417575820229,25.900036401392704,25.89183717674411,26.042052228754695,25.96663968922748,25.82770815069715,25.72365212725781,25.805562143502726,25.790297991025806,25.637758892047145,25.467469178384796,25.83720063515109,25.8036164986695,25.714874718128975,25.868417402205747,25.97201127652707,26.03918098414217,26.026431235904692,25.987605090062647,25.991863313557843,26.02084843011161,25.955743135785013,25.902082872467563,25.781582205821977,26.18517912675532,26.37432055548282,26.449962110463833,26.47997225643732,26.658423876364733,26.49586161584196,26.51101497525391,26.528570509986757,26.40521309034585,26.754350563516454,26.297661499064397,26.448303799449235,26.449853791290906,25.899503528569966,26.437315757065416,26.76436785692317
0.75,26.23374522243465,26.218545723627866,26.173793659140596,25.984707775293163,25.96342467061641,26.117590569325042,26.14198692874067,25.97402051254664,25.826238614659104,25.671415229516583,26.143836981570093,26.157573223140233,26.24612222793211,26.217764401136538,26.267891270364302,26.202842190514907,26.097886316502798,26.241820088164413,26.274448902650402,26.275834807151906,26.232285508605305,26.15193310764451,25.98018758581795,26.061644349724194,25.67620408096855,25.716380635115364,26.22258200901026,26.281529180884444,26.316289411070585,26.052626709025617,26.298023749149902,26.24602722674709,26.285611219030915,26.210107045320548,26.233779900590847,26.237504156939497,26.168053466842302,26.113489870346342,26.42298093720022,26.519626051573876,26.57057113455914,26.49921512671257,26.33295328831136,26.33469223946655,26.304090315517673,26.117524343619774,26.00488155867931,26.008859553291362,25.939268613689052,26.089789100458724,26.299906034142232,26.37747852402796,26.391270103105693,26.31088694920423,26.31674921500829,26.317069478142553,26.247175054677992,26.329293046954877,25.99951053611342,25.88130877172098,25.84244416723959,25.879367901872353,25.927747975054828,25.853293897219466,25.74117645914876,25.691009954070413,25.818585073329924,25.730696991740647,25.663514364233773,26.20422867041613,26.204166282301898,26.177346895341085,26.20930277207256,26.39560853765395,26.339443040783696,26.514866447547632,25.956317310893365,25.974130075692546,25.94114320890992,25.74188907108081,25.733376818464578,25.881583292148633,25.8099479655707,25.67620192902185,25.576523417569096,25.6551016166298,25.640318859816567,25.496706742596913,25.328310365806434,25.686964685023437,25.653771595370557,25.56657791985663,25.713331547510666,25.812526813770187,25.877117532618264,25.865010884995037,25.828216775823904,25.831483681257126,25.86009317876267,25.797305664215557,25.746427268992058,25.630613151398165,26.017654635724266,26.202393290946507,26.276335187286186,26.309302661255824,26.480358122451268,26.31781747865286,26.331295337681226,26.345003266322728,26.225914966613267,26.557180018362118,26.12354334267395,26.272360317961294,26.274163395956542,25.739905324130703,26.25781059690543,26.582302050197153
1.0,26.11969460820964,26.10331183010552,26.061881898513455,25.877378851899493,25.85633968768874,26.006981832684968,26.030274000302743,25.866784310927773,25.722034530492394,25.570364194507732,26.031140265122282,26.04504259566777,26.13513149120529,26.104833484696282,26.15570687120973,26.088533339638015,25.988263564584376,26.128764396305563,26.160956692170043,26.1608390304141,26.119203878460166,26.041156635938513,25.872203966757866,25.95129337634617,25.574786977832737,25.61426028522195,26.10880198165914,26.166667396991205,26.201044562593797,25.944032671699006,26.184947788898224,26.13260428186684,26.17384086445074,26.09825830730971,26.121499925151024,26.125072427294278,26.057840481517374,26.0042924342461,26.314277034929056,26.41210519641359,26.46208910929834,26.391487135411058,26.21525144918577,26.216347743830237,26.187619716423104,26.006437435763306,25.895798855191803,25.90297604881969,25.835066635957297,25.98114427248512,26.184404628442977,26.258444097410738,26.270965005385193,26.19220961919011,26.19787632450887,26.197822704812275,26.13228677484084,26.212668744383535,25.891993647221607,25.777145501200618,25.738766043706928,25.77512982744541,25.821996973155027,25.749273053271008,25.639348932943644,25.59078297216464,25.71743232859067,25.628440016210128,25.56263316359273,26.08916062673085,26.089184473008686,26.063452594290535,26.094194038511823,26.275831075517523,26.22588184105923,26.406891225602365,25.849813602069453,25.867146162676345,25.8339568960713,25.638523770592556,25.630581406169952,25.773090665110086,25.70146160314075,25.569495672258867,25.470853929548642,25.548262306908672,25.533817814751583,25.39004315402149,25.225700265738915,25.574671590849057,25.542769582069813,25.458471649124718,25.60541341500666,25.704939510505874,25.768917352445698,25.75757951510322,25.721806378464656,25.72460507870004,25.751446079359148,25.68955816439542,25.635427636947963,25.521526284893188,25.90728448947812,26.08683044031961,26.15882379712968,26.189078291803156,26.356196480364105,26.201018028929365,26.214871086171826,26.230140305213112,26.11368153999098,26.446833694514385,26.01332908913165,26.157583987633192,26.159176613506542,25.637405676949765,26.142509996415033,26.470683913794733
1.25,26.04232033273451,26.02757175899967,25.985628310619035,25.801943506153663,25.781596471321706,25.93144581878335,25.95492322174161,25.791904613092402,25.649323160574777,25.499908217498984,25.955241435889164,25.969733399946605,26.052800487155668,26.028523797728884,26.07672155476767,26.013537187153965,25.911869725887104,26.050798105961157,26.08210961738218,26.083237783413082,26.04201939599339,25.96443085404361,25.79939030947547,25.878065048870194,25.505640273265843,25.54430062382655,26.03310927650772,26.08851809451271,26.120928632925448,25.868152293444904,26.103539769459406,26.05626999732674,26.094073231922017,26.019602272702205,26.041890403636916,26.04559957457242,25.979249311630756,25.92656976799549,26.226530061566635,26.31888388306051,26.36949932136758,26.301125323960683,26.135171495015335,26.13245798772099,26.10479773366441,25.925749385636458,25.817597752856,25.823406121253992,25.755785622447874,25.902155709526745,26.103488602602575,26.17791965846876,26.190019656637737,26.11409023773206,26.119540673480437,26.119835903462462,26.053910752136588,26.13129529762039,25.818031822095477,25.70211179532525,25.6643823521183,25.698594822184624,25.747880558962674,25.675102637445217,25.565698627283805,25.516978149465302,25.639224545081056,25.554639059463753,25.490359446918497,26.015567899293274,26.01545413335324,25.98974368928617,26.02032460777373,26.200131002106577,26.14824612748134,26.317168048262864,25.773488322646305,25.79073689165814,25.75825388676156,25.563768223231417,25.55646824087434,25.698723219444798,25.629907394646708,25.50118766616557,25.404103290854923,25.48171150468919,25.467475901104557,25.326868781937097,25.163777950110116,25.510204690723885,25.477152468548212,25.39209291870914,25.534262966345583,25.62959442049891,25.69358447347001,25.68237407164255,25.64705053566948,25.64645460593951,25.674457079535966,25.61230608746619,25.56338090160614,25.45327000541117,25.821486113463074,26.00022132953999,26.07011553553808,26.10177593317609,26.261396065629533,26.10730857107863,26.119172601323175,26.12978510905845,26.01566944751271,26.329677070912552,25.93693493871404,26.081667833767273,26.08336975324468,25.563281414790875,26.06664690447464,26.38697736875427
1.5,25.90705450536202,25.893603730753007,25.851552467169437,25.674380784745004,25.654841810648588,25.80152345352204,25.823700625138464,25.665163561585704,25.526155763046877,25.38045946343151,25.82356735167175,25.837320147754745,25.917144935152287,25.895946921873282,25.945798104629567,25.879632787912914,25.783205490538407,25.918417715526292,25.94966334561454,25.949777510831023,25.90852208759917,25.832657463164196,25.672672221353263,25.750236965035384,25.386241756172254,25.42409690395443,25.898272241918026,25.95207373863182,25.983506688685285,25.740436213621752,25.96617601010039,25.921685469954,25.963884848764682,25.888550982422306,25.910775844702254,25.914211476556684,25.849679689069376,25.798564534359766,26.088970486296397,26.179652493179855,26.231254198284827,26.169790014352564,25.999304033584213,25.997325961780472,25.970699547865028,25.798002835064935,25.694255238957766,25.698326044296554,25.633585435497388,25.776917932918487,25.974337901886678,26.04655392872269,26.059913652424648,25.98517239614437,25.990868001051282,25.991066220412154,25.925183529550107,26.0010698422796,25.699180673675514,25.586575230440353,25.54905514219971,25.58284259615016,25.63031973374626,25.558975566575437,25.450503286048697,25.40237393325333,25.521833850664652,25.440001916023128,25.376989629771643,25.884525361019815,25.884315695136955,25.858810657046714,25.8890525855828,26.066391205825667,26.01538211930376,26.177829775869768,25.653461215878846,25.670939040091817,25.638740620097764,25.44940927862574,25.441904209114874,25.578251581315904,25.510194864172295,25.380402491568756,25.28472880473729,25.36099205121047,25.347139595719412,25.208222634890845,25.050339767031254,25.3854293658159,25.35473694025829,25.274220844411797,25.413603483860108,25.508065336106732,25.572126911459613,25.56277258892382,25.52904936249161,25.529236497318596,25.552448450761144,25.490926417292677,25.442680863436962,25.334220709108692,25.692713322659735,25.868686143540153,25.936771699963064,25.966980020245764,26.126479451088823,25.970166055107782,25.980612075581497,25.98805223234248,25.8771672009501,26.17575710976565,25.807394103919556,25.945862882493458,25.947351705010522,25.448619190760578,25.9308257383449,26.24841156005867
1.75,25.84424372212956,25.830395209948293,25.789493933607208,25.613485510718018,25.594111746330096,25.737403924786232,25.75997540232627,25.60442848326566,25.467097023308803,25.323145706977353,25.760845023763494,25.774657358670247,25.853314332286544,25.831788841106796,25.879051683617842,25.81662239510627,25.721530366899803,25.856630602877694,25.88553952406045,25.886562458715147,25.84666910730308,25.772237353617946,25.61464619062024,25.69081273082596,25.331388356727906,25.368435794554497,25.84179500070172,25.89410504605059,25.92398748731109,25.679315270495767,25.90645611646626,25.862680602709805,25.895634898178937,25.825270142133686,25.84739665393498,25.851017525911743,25.786569612466796,25.73616101080893,26.020973113141146,26.108603719725046,26.15776945932664,26.09250140035062,25.937702372651483,25.93994687547188,25.9146240901486,25.73988697437957,25.63466580332451,25.63926676593806,25.57412515543774,25.71653247651008,25.910574002097864,25.982496682815313,25.996995179426598,25.92520694175862,25.93000566262887,25.93033951873401,25.86468094792917,25.93853050062265,25.637507332205296,25.524105290674107,25.4879093844003,25.520768117830404,25.56914774699432,25.49832884477519,25.39198023084201,25.344676733400433,25.4620139332517,25.38162912910518,25.31959994262628,25.82340065668401,25.823461395001278,25.79956251471697,25.828151559281288,26.003606586260005,25.9538892197995,26.115863432539367,25.592395161640567,25.608445343620428,25.576993466959888,25.390916738437213,25.38361158470567,25.521979777743976,25.456953498446264,25.333000223225703,25.240041591601234,25.315234867307776,25.30152064171098,25.16581162104257,25.010567201124328,25.351887256163373,25.316686132186334,25.229627876706772,25.364421182332148,25.454789148026393,25.5164629682515,25.505328691267064,25.470864624720093,25.470878793668657,25.49916242206671,25.437254668003742,25.392238980841995,25.2877027593553,25.63563683948174,25.80761563625705,25.873948681355376,25.90399523088913,26.058960377171402,25.908355517008996,25.919143251513425,25.92769745043895,25.818164256106492,26.11487067120604,25.74597258638623,25.88720294668735,25.888881270804237,25.390023670010837,25.870425909623606,26.186521572864777
2.0,25.786766710652643,25.771153239600103,25.731950287423157,25.55770226801897,25.538844800826645,25.68102798022018,25.70303681822531,25.549386646617787,25.41364964136761,25.271358251789184,25.701878680590625,25.716580960157447,25.792898817147726,25.77457686344997,25.82326637135446,25.759751026565183,25.666468965065377,25.799702104563206,25.829167435068612,25.82811856297237,25.788696052957253,25.71543076455994,25.560898798646903,25.636525717626633,25.28060400822094,25.31725061778895,25.784432430571574,25.83563700189278,25.863645017694818,25.62468091431336,25.846812405224505,25.806336534374463,25.840887293824395,25.77080414879942,25.79238251138308,25.795930110348937,25.732359052299863,25.68218857781046,25.963812833729854,26.05075837071855,26.10117770191516,26.03768521611754,25.881171519075608,25.879834684499116,25.854567181133753,25.68360219432366,25.578574921128723,25.58435514127514,25.52035562451933,25.661886267827605,25.85401993168885,25.92561331690196,25.938887296033414,25.86710176397327,25.872787159594832,25.87213711460173,25.807472815644505,25.880637309536414,25.588653209395016,25.475305735597104,25.439123494993837,25.471252709129445,25.52017697758969,25.44931227417051,25.34242325936939,25.29502747745003,25.41125833152185,25.331839044544463,25.27026739226717,25.76786067937032,25.767921841400803,25.743689985295592,25.772677449218858,25.941149648740133,25.894304433663557,26.05385474709504,25.540882698377295,25.55736183528424,25.526297400788692,25.340893210145673,25.3336778808813,25.469537327300728,25.403519553678017,25.278719478463117,25.18602848756286,25.262240148494037,25.248690579534212,25.11234689300185,24.95706143948035,25.29081742128847,25.25752251489757,25.172917598613438,25.308264120673655,25.39968852972671,25.462857382196244,25.45284567682409,25.419661539658314,25.418145455225904,25.443425397449882,25.38173198577173,25.334134133302,25.2304447484489,25.575930191446506,25.7485364663548,25.81382057932332,25.84457723227042,25.997348044505134,25.84405013062742,25.853230907211284,25.857252114344387,25.749356301711973,26.038024330990876,25.690799938615086,25.83056704577205,25.832184996504523,25.340150033364793,25.810026898809205,26.124692004394333
2.25,25.71567198661218,25.700468689652144,25.661701348376006,25.489342429862386,25.470641307713585,25.610950207934398,25.632481293826867,25.480578796355363,25.346762768005647,25.20647177616745,25.632016786668796,25.645851017081494,25.721581110794308,25.701571062220182,25.749032652045248,25.68678852237248,25.593846944581898,25.723602133461362,25.753849273642032,25.75354310466181,25.714413095736504,25.641572328572806,25.487983592603815,25.56413383644566,25.211956601488236,25.248437921908245,25.702874300610734,25.754762978529303,25.78424554598375,25.553066553219786,25.767881702957705,25.725259597555414,25.76687301553401,25.697100035427212,25.71882615261869,25.72201958418381,25.659629023913304,25.610183217828588,25.887906395171882,25.973152532067562,26.02142770245036,25.961371839161757,25.803621023237405,25.801371289707067,25.77554129861464,25.610595537107166,25.509507618605525,25.51427583279435,25.451225583856328,25.58833369206526,25.77780789975527,25.847735421102485,25.8611593760897,25.787865801258846,25.79377544291245,25.793396581730182,25.730838036334553,25.80320916763055,25.51305127194446,25.40635491149146,25.37052772450455,25.404067021844774,25.447655955125196,25.379907421368213,25.276929232883287,25.23049327082505,25.34527175187105,25.268123939736384,25.207778838304684,25.69685951839231,25.69642999932396,25.670132631876445,25.701106300501674,25.87302660523976,25.826391428281937,25.985077380642235,25.47417687062102,25.490598466725963,25.45989447756571,25.27812546796702,25.270430104984676,25.401149458646838,25.335098359520913,25.20871810517984,25.1153769975023,25.187584073231818,25.174273575604474,25.041387480858166,24.888750260781975,25.20994352471872,25.18120653755109,25.104100058304866,25.239467850491195,25.330983223846037,25.392681506468016,25.384975564807053,25.353698009465333,25.355240064866962,25.374675456129808,25.31495422268563,25.266726114068323,25.162080762265532,25.508051513380448,25.677314013828354,25.743189728924698,25.77331169500642,25.92999074456897,25.77414254228717,25.783738892561765,25.789209971581027,25.682802090632904,25.96868924294282,25.616812860471136,25.748525663171673,25.74999996294712,25.276619160672297,25.735283905355892,26.056021038670448
